,type,time,entity_id,coordinates,trajectory_id
0,trajectory,2018-10-05T04:20:53Z,1076,"[104.1151, 30.65654]",26628
1,trajectory,,1076,"[104.11414, 30.66144]",26628
2,trajectory,,1076,"[104.11261, 30.66524]",26628
3,trajectory,,1076,"[104.11102, 30.66924]",26628
4,trajectory,,1076,"[104.10908, 30.67408]",26628
5,trajectory,,1076,"[104.10702, 30.67808]",26628
6,trajectory,,1076,"[104.10545, 30.68103]",26628
7,trajectory,,1076,"[104.10376, 30.68393]",26628
8,trajectory,,1076,"[104.10278, 30.68651]",26628
9,trajectory,,1076,"[104.1046, 30.68887]",26628
10,trajectory,,1076,"[104.1068, 30.6916]",26628
11,trajectory,,1076,"[104.108, 30.69448]",26628
12,trajectory,,1076,"[104.10628, 30.69739]",26628
13,trajectory,,1076,"[104.10439, 30.70048]",26628
14,trajectory,,1076,"[104.10287, 30.70263]",26628
15,trajectory,,1076,"[104.10174, 30.70468]",26628
16,trajectory,,1076,"[104.1005, 30.70697]",26628
17,trajectory,,1076,"[104.10047, 30.70847]",26628
18,trajectory,,1076,"[104.10137, 30.70989]",26628
19,trajectory,,1076,"[104.10155, 30.71017]",26628
20,trajectory,2018-10-05T05:04:48Z,1076,"[104.10752, 30.72218]",26629
21,trajectory,,1076,"[104.1078, 30.7224]",26629
22,trajectory,,1076,"[104.10847, 30.7218]",26629
23,trajectory,,1076,"[104.10908, 30.72165]",26629
24,trajectory,,1076,"[104.10993, 30.72092]",26629
25,trajectory,,1076,"[104.11176, 30.72036]",26629
26,trajectory,,1076,"[104.11334, 30.71912]",26629
27,trajectory,,1076,"[104.11156, 30.71838]",26629
28,trajectory,,1076,"[104.11072, 30.71843]",26629
29,trajectory,,1076,"[104.10828, 30.71863]",26629
30,trajectory,,1076,"[104.1051, 30.71937]",26629
31,trajectory,,1076,"[104.10452, 30.71668]",26629
32,trajectory,,1076,"[104.10393, 30.71534]",26629
33,trajectory,,1076,"[104.10352, 30.71448]",26629
34,trajectory,,1076,"[104.10257, 30.71209]",26629
35,trajectory,,1076,"[104.10249, 30.71199]",26629
36,trajectory,,1076,"[104.10175, 30.71063]",26629
37,trajectory,,1076,"[104.10007, 30.70826]",26629
38,trajectory,,1076,"[104.09764, 30.70423]",26629
39,trajectory,,1076,"[104.09582, 30.70141]",26629
40,trajectory,,1076,"[104.09426, 30.69902]",26629
41,trajectory,,1076,"[104.09265, 30.697]",26629
42,trajectory,,1076,"[104.09248, 30.69668]",26629
43,trajectory,,1076,"[104.09239, 30.69657]",26629
44,trajectory,,1076,"[104.09088, 30.69429]",26629
45,trajectory,,1076,"[104.09029, 30.6933]",26629
46,trajectory,,1076,"[104.09028, 30.69329]",26629
47,trajectory,,1076,"[104.08988, 30.69267]",26629
48,trajectory,,1076,"[104.08956, 30.69187]",26629
49,trajectory,,1076,"[104.093, 30.68997]",26629
50,trajectory,,1076,"[104.09425, 30.68947]",26629
51,trajectory,,1076,"[104.09441, 30.68959]",26629
52,trajectory,,1076,"[104.0944, 30.68961]",26629
53,trajectory,,1076,"[104.09517, 30.68865]",26629
54,trajectory,,1076,"[104.09883, 30.68729]",26629
55,trajectory,,1076,"[104.10156, 30.68575]",26629
56,trajectory,,1076,"[104.10336, 30.68397]",26629
57,trajectory,,1076,"[104.10461, 30.68144]",26629
58,trajectory,,1076,"[104.10667, 30.67816]",26629
59,trajectory,,1076,"[104.10842, 30.67492]",26629
60,trajectory,,1076,"[104.10931, 30.67184]",26629
61,trajectory,,1076,"[104.11061, 30.67113]",26629
62,trajectory,,1076,"[104.11175, 30.66695]",26629
63,trajectory,2018-10-02T09:43:03Z,1077,"[104.04224, 30.68935]",26630
64,trajectory,,1077,"[104.04218, 30.68924]",26630
65,trajectory,,1077,"[104.04248, 30.68998]",26630
66,trajectory,,1077,"[104.04279, 30.69087]",26630
