trajectory_id,predicted_next_road_id
30431,3027
30432,3813
30433,4465
30434,5482
30435,357
30436,2415
30437,4892
30438,2913
30439,3061
30440,981
30441,561
30442,4865
30443,3813
30444,4022
30445,2853
30446,5114
30447,4445
30448,2415
30449,4431
30450,4022
30451,196
30452,2817
30453,4172
30454,3854
30455,2582
30456,2548
30457,4865
30458,1520
30459,2833
30460,3886
30461,196
30462,716
30463,981
30464,2972
30465,4173
30466,4340
30467,5122
30468,2409
30469,1987
30470,3653
30471,4865
30472,5534
30473,4576
30474,518
30475,4172
30476,1137
30477,385
30478,3274
30479,2409
30480,2040
30481,2106
30482,5280
30483,3027
30484,787
30485,2279
30486,1227
30487,3270
30488,3860
30489,1186
30490,2111
30491,2040
30492,1137
30493,26
30494,2597
30495,2415
30496,2040
30497,815
30498,158
30499,4182
30500,431
30501,842
30502,2357
30503,4172
30504,2409
30505,1987
30506,2212
30507,2833
30508,2542
30509,479
30510,1920
30511,2760
30512,2520
30513,3163
30514,6156
30515,6156
30516,144
30517,2117
30518,2111
30519,6034
30520,2709
30521,858
30522,4024
30523,547
30524,523
30525,3813
30526,1186
30527,1598
30528,5074
30529,196
30530,2833
30531,1619
30532,4168
30533,4216
30534,2597
30535,357
30536,5534
30537,26
30538,1775
30539,518
30540,2918
30541,3797
30542,2782
30543,981
30544,5470
30545,2694
30546,16
30547,3133
30548,26
30549,4500
30550,3891
30551,3133
30552,3921
30553,4172
30554,2853
30555,3813
30556,2019
30557,2409
30558,2817
30559,3651
30560,3813
30561,1775
30562,4052
30563,5485
30564,2817
30565,858
30566,379
30567,858
30568,1138
30569,3061
30570,196
30571,4173
30572,1598
30573,2409
30574,4865
30575,385
30576,2840
30577,2409
30578,3813
30579,2212
30580,3651
30581,2481
30582,2350
30583,2415
30584,1775
30585,4197
30586,2610
30587,4172
30588,858
30589,617
30590,2678
30591,1290
30592,3901
30593,385
30594,4826
30595,6123
30596,3813
30597,4327
30598,379
30599,567
30600,2833
30601,2040
30602,10
30603,1803
30604,2350
30605,3813
30606,2430
30607,4199
30608,3270
30609,3813
30610,1775
30611,2111
30612,1227
30613,26
30614,4262
30615,4172
30616,138
30617,158
30618,748
30619,4366
30620,220
30621,1910
30622,4196
30623,787
30624,2409
30625,1910
30626,3653
30627,5534
30628,26
30629,3876
30630,10
30631,26
